class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023201,PHA3001,Engenharia e Meio Ambiente,Rachel Biancalana Costa,2023-08-07,2023-12-21,civil-manual,seg,07:30,09:10,Civil,S01,
2023201,PHA3203,Engenharia Civil e o Meio Ambiente,(R) Amarilis Lucia Casteli Figueiredo Gallardo,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S01,
2023201,DEF0566,Direito Ambiental,(R) Ana Maria de Oliveira Nusdeo,2023-08-07,2023-12-21,civil-manual,seg,13:10,16:40,Civil,S01,
2023220,DEF0566,Direito Ambiental,(R) Ana Maria de Oliveira Nusdeo,2023-08-07,2023-12-21,civil-manual,qui,19:00,22:00,Civil,S05,
2023250,PHA3511,Projeto de Formatura I,Rachel Biancalana Costa,2023-08-07,2023-12-21,civil-manual,seg,16:50,18:30,Civil,S01,
2023201,PCC3260,Física das Construções,(R) Daniel Setrak Sowmy,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S03,
2023201,PCC3260,Física das Construções,(R) Daniel Setrak Sowmy,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S05,
2023250,PHA3360,Poluição e Qualidade da Água,(R) José Carlos Mierzwa,2023-08-07,2023-12-21,civil-manual,seg,13:10,15:50,Civil,S05,
2023251,PHA3360,Poluição e Qualidade da Água,(R) Sidney Seckler Ferreira Filho,2023-08-07,2023-12-21,civil-manual,seg,13:10,15:50,Civil,S03,
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,civil-manual,seg,07:30,09:10,Civil,S04,
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,civil-manual,ter,07:30,09:10,Civil,S04,
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S24,
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S22,
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,civil-manual,qua,15:00,16:40,Civil,S24,
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,civil-manual,sex,15:00,16:40,Civil,S24,
2023201,PTR3321,Projeto de Vias de Transporte,(R) Felipe Issa Kabbach Junior,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S04,
2023211,PTR3321,Projeto de Vias de Transporte,(R) Ettore Jose Bottura,2023-08-07,2023-12-21,civil-manual,sex,07:30,09:10,Civil,S08,
2023250,PHA3556,Tecnologias de Tratamento de Resíduos Sólidos,(R) Ronan Cleber Contrera,2023-08-07,2023-12-21,civil-manual,seg,08:20,12:00,Civil,S05,
2023250,PQI3222,Química Ambiental e Fundamentos de Termodinâmica,Marcela dos Passos Galluzzi Baltazar,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S06,
2023250,PQI3222,Química Ambiental e Fundamentos de Termodinâmica,Marcela dos Passos Galluzzi Baltazar,2023-08-07,2023-12-21,civil-manual,ter,09:20,11:00,Civil,S05,
2023201,PEF3202,Introdução à Mecânica dos Sólidos,(R) Rodrigo Provasi Correia,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S12,
2023201,PEF3202,Introdução à Mecânica dos Sólidos,(R) Rodrigo Provasi Correia,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S24,
2023202,PEF3202,Introdução à Mecânica dos Sólidos,Valério da Silva Almeida,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S09,
2023202,PEF3202,Introdução à Mecânica dos Sólidos,Valério da Silva Almeida,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S11,
2023201,PCC3529,Planejamento e Controle de Obras,(R) Luiz Reynaldo de Azevedo Cardoso,2023-08-07,2023-12-21,civil-manual,seg,13:10,16:40,Civil,S09,
2023201,PCC3412,Real Estate - Análise de Investimentos,(R) Eliane Monetti,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S13,
2023202,PCC3412,Real Estate - Análise de Investimentos,(R) Claudio Tavares de Alencar,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S10,
2023203,PCC3412,Real Estate - Análise de Investimentos,(R) Eliane Monetti,2023-08-07,2023-12-21,civil-manual,ter,09:20,11:00,Civil,S14,
2023204,PCC3412,Real Estate - Análise de Investimentos,(R) Claudio Tavares de Alencar,2023-08-07,2023-12-21,civil-manual,ter,09:20,11:00,Civil,S13,
2023201,0313102,Introdução ao Projeto na Engenharia,(R) Eduardo Toledo Santos,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S12,
2023201,0313102,Introdução ao Projeto na Engenharia,(R) Eduardo Toledo Santos,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S09,
2023203,0313102,Introdução ao Projeto na Engenharia,Sérgio Leal Ferreira,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S14,
2023203,0313102,Introdução ao Projeto na Engenharia,Sérgio Leal Ferreira,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S08,
2023201,PCC3462,Sistemas Prediais II,(R) Lúcia Helena de Oliveira,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S15,
2023202,PCC3462,Sistemas Prediais II,(R) Moacyr Eduardo Alves da Graca,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S13,
2023203,PCC3462,Sistemas Prediais II,(R) Lúcia Helena de Oliveira,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S15,
2023204,PCC3462,Sistemas Prediais II,(R) Moacyr Eduardo Alves da Graca,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S13,
2023201,PHA3304,Hidráulica Geral I,(R) José Carlos de Melo Bernardino,2023-08-07,2023-12-21,civil-manual,seg,07:30,11:00,Civil,S14,
2023202,PHA3304,Hidráulica Geral I,(R) Paolo Alfredini,2023-08-07,2023-12-21,civil-manual,seg,07:30,11:00,Civil,S21,
2023201,IOF0273,Oceanografia Física Descritiva para Engenharia Ambiental,(R) Joseph Harari,2023-08-07,2023-12-21,civil-manual,seg,09:20,11:00,Civil,S19,
2023201,PEF3501,"Concepção, Projeto e Métodos Construtivos de Edifícios",(R) Cláudius de Sousa Barbosa,2023-08-07,2023-12-21,civil-manual,seg,13:10,15:50,Civil,S19,
2023201,PEF3303,Estruturas de Concreto I,(R) Januario Pellegrino Neto,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S22,
2023201,PEF3303,Estruturas de Concreto I,(R) Januario Pellegrino Neto,2023-08-07,2023-12-21,civil-manual,qua,15:00,16:40,Civil,S22,
2023202,PEF3303,Estruturas de Concreto I,(R) Túlio Nogueira Bittencourt,2023-08-07,2023-12-21,civil-manual,seg,13:10,14:50,Civil,S26,
2023202,PEF3303,Estruturas de Concreto I,(R) Túlio Nogueira Bittencourt,2023-08-07,2023-12-21,civil-manual,qua,15:00,16:40,Civil,S26,
2023201,PEF2604,Estruturas na Arquitetura I V: Projeto,Martin Paul Schwark,2023-08-07,2023-12-21,civil-manual,seg,08:00,12:00,Civil,S24,
2023202,PEF2604,Estruturas na Arquitetura I V: Projeto,Pedro Afonso de Oliveira Almeida,2023-08-07,2023-12-21,civil-manual,seg,08:00,12:00,Civil,S26,
2023250,PHA3525,Uso Racional e Reúso de Água,(R) José Carlos Mierzwa,2023-08-07,2023-12-21,civil-manual,ter,07:30,11:00,Civil,S03,
2023201,HSA0108,Controle da Poluição do Ar,(R) Thiago Nogueira,2023-08-07,2023-12-21,civil-manual,ter,13:10,16:40,Civil,S03,
2023250,PHA3521,Projeto de Formatura II,Rachel Biancalana Costa,2023-08-07,2023-12-21,civil-manual,ter,16:50,18:30,Civil,S03,
2023201,PEF3110,"Concepção, Projeto e Realização das Estruturas: Aspectos Históricos",(R) Henrique Lindenberg Neto,2023-08-07,2023-12-21,civil-manual,ter,13:10,14:50,Civil,S04,
2023201,PEF3110,"Concepção, Projeto e Realização das Estruturas: Aspectos Históricos",(R) Henrique Lindenberg Neto,2023-08-07,2023-12-21,civil-manual,qui,15:00,16:40,Civil,S04,
2023250,PHA3426,Planejamento Ambiental,(R) Amarilis Lucia Casteli Figueiredo Gallardo,2023-08-07,2023-12-21,civil-manual,ter,07:30,09:10,Civil,S05,
2023201,PEF3301,Resistência dos Materiais e Estática das Construções II,Luiz Antonio Cortese Diogo,2023-08-07,2023-12-21,civil-manual,ter,11:10,12:50,Civil,S05,
2023201,PEF3301,Resistência dos Materiais e Estática das Construções II,Mario Eduardo Senatore Soares,2023-08-07,2023-12-21,civil-manual,qui,11:10,12:50,Civil,S06,
2023201,0313320,Métodos Numéricos Aplicados à Engenharia Civil,(R) Fernando Akira Kurokawa,2023-08-07,2023-12-21,civil-manual,ter,15:00,16:40,Civil,S05,
