class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023250,PCS3722,Organização e Arquitetura de Computadores II,,2023-05-02,2023-08-18,eletrica_crawler,seg,16:00,17:40,eletrica,"B2-01,B2-03",0
2023250,PCS3722,Organização e Arquitetura de Computadores II,,2023-05-02,2023-08-18,eletrica_crawler,qua,16:00,17:40,eletrica,GD-06,0
2023250,PTC3449,Sistemas de Comunicação,,2023-08-07,2023-12-21,eletrica_crawler,seg,14:00,15:40,eletrica,B2-01,0
2023250,PTC3449,Sistemas de Comunicação,,2023-08-07,2023-12-21,eletrica_crawler,qua,14:00,15:40,eletrica,B2-01,0
2023201,PSI3211,Circuitos Elétricos I,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,09:10,eletrica,B2-05,0
2023201,PSI3211,Circuitos Elétricos I,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,09:10,eletrica,B2-05,0
2023201,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023201,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023202,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023202,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023203,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023203,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023204,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023204,PSI3213,Circuitos Elétricos II,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,"B2-05,D1-01,D1-02,D1-04",0
2023201,PSI3321,Eletrônica I,,2023-08-07,2023-12-21,eletrica_crawler,seg,18:00,19:40,eletrica,B2-05,0
2023201,PSI3321,Eletrônica I,,2023-08-07,2023-12-21,eletrica_crawler,qua,18:00,19:40,eletrica,B2-05,0
2023250,PCS3422,Organização e Arquitetura de Computadores II,,2023-08-07,2023-12-21,eletrica_crawler,seg,14:00,15:40,eletrica,B2-08,0
2023250,PCS3422,Organização e Arquitetura de Computadores II,,2023-08-07,2023-12-21,eletrica_crawler,qua,14:00,15:40,eletrica,B2-08,0
2023250,PCS3438,Inteligência Artificial,,2023-08-07,2023-12-21,eletrica_crawler,seg,16:00,17:40,eletrica,B2-08,0
2023250,PCS3438,Inteligência Artificial,,2023-08-07,2023-12-21,eletrica_crawler,qua,16:00,17:40,eletrica,B2-08,0
