,code,start_time,end_time,room,day_of_week
0,PCS3722,16:00,17:30,B2-01,seg
1,PTC3449,14:00,15:30,B2-01,seg
2,PCS3722,16:00,17:30,B2-03,seg
3,PSI3211,07:30,09:00,B2-05,seg
4,PSI3213,15:00,16:30,B2-05,seg
5,PSI3321,18:00,19:30,B2-05,seg
6,PCS3422,14:00,15:30,B2-08,seg
7,PCS3438,16:00,17:30,B2-08,seg
8,PCS3563/3863,08:20,11:50,B2-08,seg
9,PSI3442,07:30,09:00,B2-09,seg
10,PSI3472,09:20,10:50,B2-09,seg
11,PEA3405,07:30,08:20,B2-10,seg
12,PEA3417,13:10,14:40,B2-10,seg
13,PEA3521,11:10,12:40,B2-10,seg
14,PEA3550,16:50,18:20,B2-10,seg
15,PEA3406,07:30,08:20,B2-12,seg
16,PEA3414,15:00,16:30,B2-12,seg
17,PEA3490,13:10,14:40,B2-12,seg
18,PSI3501,16:50,18:20,C1-05,seg
19,MAC0122,13:10,14:40,C1-30,seg
20,PEA3100,15:00,16:30,C1-30,seg
21,PSI3024,09:20,10:50,C1-30,seg
22,PCS3746,14:00,15:30,C1-49,seg
23,Defesa doutorado  Ricardo Wandré,15:00,17:20,CAEEL (Defesa),seg
24,PCS3225,13:10,14:40,D1-01,seg
25,PSI3213,15:00,16:30,D1-01,seg
26,PTC3213,09:20,10:50,D1-01,seg
27,PTC3361,11:10,12:40,D1-01,seg
28,PCS3225,13:10,14:40,D1-02,seg
29,PSI3213,15:00,16:30,D1-02,seg
30,PSI3502,16:50,20:00,D1-02,seg
31,PTC3213,09:20,10:50,D1-02,seg
32,PTC3361,11:10,12:40,D1-02,seg
33,4323102?,15:00,16:30,D1-03,seg
34,PCS3213,13:10,14:40,D1-03,seg
35,PSI3262,16:50,18:20,D1-03,seg
36,PCS3225,13:10,14:40,D1-04,seg
37,PSI3213,15:00,16:30,D1-04,seg
38,PTC3213,09:20,10:50,D1-04,seg
39,PTC3361,11:10,12:40,D1-04,seg
40,PSI3482,11:10,12:40,GD-04,seg
41,PSI3483,15:50,17:20,GD-04,seg
42,0323100,08:20,10:50,GD-06,seg
43,PEA3201,13:10,14:40,GD-06,seg
44,PEA3392,15:00,16:30,GD-06,seg
45,PEA3201 Pv,07:30,10:50,A1-22,ter
46,PTC3451,15:50,17:20,B2-01,ter
47,PTC3452,14:00,15:30,B2-01,ter
48,PTC3470,09:20,10:50,B2-01,ter
49,PTC3565,11:10,12:40,B2-01,ter
50,PTC3101,17:00,17:50,B2-03,ter
51,PTC3420,11:10,12:40,B2-03,ter
52,PTC3570,14:00,16:50,B2-03,ter
53,PCS3579/3879,14:00,17:30,B2-05,ter
54,PTC3441,09:20,10:50,B2-05,ter
55,PCS3424,14:00,15:30,B2-08,ter
56,PCS3569/3869,08:20,11:50,B2-08,ter
57,PCS3446,14:00,15:30,B2-09,ter
58,PSI3472,07:30,09:00,B2-09,ter
59,PTC3569,11:10,12:40,B2-09,ter
60,PEA3417,13:10,14:40,B2-10,ter
61,PEA3524,07:30,10:50,B2-10,ter
62,PEA3410,15:00,16:30,B2-12,ter
63,PTC3456,09:20,12:40,B2-12,ter
64,Reunião - GT1 DCNs,09:00,10:30,C1-05,ter
65,PME3344?,09:20,10:50,D1-01,ter
