,A1-22,A2-37,A2-44,B2-01,B2-03,B2-04,B2-05,B2-06,B2-08,B2-09,B2-10,B2-12,C1-05,C1-30,C1-49,CAEEL (Defesa),CAEEL (Reunião),D1-01,D1-02,D1-03,D1-04,GD-03,GD-04,GD-05,GD-06
07:00,,,,,,,,,,,,,,,,,,,,,,,,,
07:10,,,,,,,,,,,,,,,,,,,,,,,,,
07:20,,,,,,,,,,,,,,,,,,,,,,,,,
07:30,PEA3201 Pv,,,,,,,,,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
07:40,PEA3201 Pv,,,,,,,,,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
07:50,PEA3201 Pv,,,,,,,,,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:00,PEA3201 Pv,,,,,,,,,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:10,PEA3201 Pv,,,,,,,,,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:20,PEA3201 Pv,,,,,,,,PCS3569/3869,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:30,PEA3201 Pv,,,,,,,,PCS3569/3869,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:40,PEA3201 Pv,,,,,,,,PCS3569/3869,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
08:50,PEA3201 Pv,,,,,,,,PCS3569/3869,PSI3472,PEA3524,,,,,,,PTC3314,PTC3314,,,,,,PSI3472
09:00,PEA3201 Pv,,,,,,,,PCS3569/3869,PSI3472,PEA3524,,Reunião - GT1 DCNs,,,,,PTC3314,PTC3314,,,,,,PSI3472
09:10,PEA3201 Pv,,,,,,,,PCS3569/3869,,PEA3524,,Reunião - GT1 DCNs,,,,,,,,,,,,
09:20,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
09:30,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
09:40,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
09:50,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:00,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:10,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:20,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:30,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,Reunião - GT1 DCNs,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:40,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
10:50,PEA3201 Pv,,,PTC3470,,,PTC3441,,PCS3569/3869,,PEA3524,PTC3456,,,,,,PME3344?,PME3344?,PME3344?,PME3344?,,PSI3432,,
