,code,room,start_time,end_time,date,day_of_week
0,PSI3211,B2-05,07:30,09:00,2023-08-07,Monday
1,PSI3442,B2-09,07:30,09:00,2023-08-07,Monday
2,PEA3405,B2-10,07:30,08:20,2023-08-07,Monday
3,PEA3406,B2-12,07:30,08:20,2023-08-07,Monday
4,0323100,D1-04,08:20,10:50,2023-08-07,Monday
5,PSI3472,B2-09,09:20,10:50,2023-08-07,Monday
6,PSI3024,C1-30,09:20,10:50,2023-08-07,Monday
7,PTC3213,D1-01,09:20,10:50,2023-08-07,Monday
8,PTC3213,D1-02,09:20,10:50,2023-08-07,Monday
9,PTC3213,D1-04,09:20,10:50,2023-08-07,Monday
10,PEA3521,B2-10,11:10,12:40,2023-08-07,Monday
11,PTC3361,D1-01,11:10,12:40,2023-08-07,Monday
12,PTC3361,D1-02,11:10,12:40,2023-08-07,Monday
13,PTC3361,D1-04,11:10,12:40,2023-08-07,Monday
14,PSI3482,GD-04,11:10,12:40,2023-08-07,Monday
15,PEA3417,B2-10,13:10,14:40,2023-08-07,Monday
16,PEA3490,B2-12,13:10,14:40,2023-08-07,Monday
17,MAC0122,C1-30,13:10,14:40,2023-08-07,Monday
18,PCS3225,D1-01,13:10,14:40,2023-08-07,Monday
19,PCS3225,D1-02,13:10,14:40,2023-08-07,Monday
20,PCS3213,D1-03,13:10,14:40,2023-08-07,Monday
21,PCS3225,D1-04,13:10,14:40,2023-08-07,Monday
22,PEA3201,GD-06,13:10,14:40,2023-08-07,Monday
23,PTC3449,B2-01,14:00,15:30,2023-08-07,Monday
24,PCS3746,B2-12,14:00,15:30,2023-08-07,Monday
25,PSI3213,B2-04,15:00,16:30,2023-08-07,Monday
26,PEA3414,B2-10,15:00,16:30,2023-08-07,Monday
27,PEA3100,C1-05,15:00,16:30,2023-08-07,Monday
28,PSI3213,CAEEL (Defesa),15:00,16:30,2023-08-07,Monday
29,PSI3213,CAEEL (Reunião),15:00,16:30,2023-08-07,Monday
30,4323102?,D1-01,15:00,16:30,2023-08-07,Monday
31,PSI3213,D1-02,15:00,16:30,2023-08-07,Monday
32,PEA3392,GD-04,15:00,16:30,2023-08-07,Monday
33,PSI3483,CAEEL (Defesa),15:50,17:20,2023-08-07,Monday
34,PCS3722,B2-01,16:00,17:30,2023-08-07,Monday
35,PCS3722,B2-03,16:00,17:30,2023-08-07,Monday
36,PEA3550,B2-06,16:50,18:20,2023-08-07,Monday
37,PSI3501,B2-10,16:50,18:20,2023-08-07,Monday
38,PSI3502,CAEEL (Reunião),16:50,20:00,2023-08-07,Monday
39,PSI3262,D1-01,16:50,18:20,2023-08-07,Monday
40,PSI3321,B2-05,18:00,19:30,2023-08-07,Monday
41,PEA3201 Pv,A1-22,07:30,10:50,2023-08-08,Tuesday
42,PSI3472,B2-09,07:30,09:00,2023-08-08,Tuesday
43,PEA3524,B2-10,07:30,10:50,2023-08-08,Tuesday
44,PTC3314,D1-01,07:30,09:00,2023-08-08,Tuesday
45,PTC3314,D1-02,07:30,09:00,2023-08-08,Tuesday
46,PSI3472,GD-06,07:30,09:00,2023-08-08,Tuesday
47,PTC3470,A2-44,09:20,10:50,2023-08-08,Tuesday
48,PTC3441,B2-04,09:20,10:50,2023-08-08,Tuesday
49,PTC3456,B2-09,09:20,12:40,2023-08-08,Tuesday
